,Nom,Code postal,Commune,Code insee,Longitude,Latitude,GeoPoint,Type
458,Centre de Romainville,5340,Vallouise-Pelvoux,5101,6.486663,44.876922,"44.876922,6.486663",Hébergement
459,GITE TONIC,6850,Saint-Auban,6116,6.736573,43.843608,"43.843608,6.736573",Hébergement
460,Chalet le refuge,4120,La Palud-sur-Verdon,4144,6.325875,43.836961,"43.836961,6.325875",Hébergement
461,Gîte du Mont Garde,5700,Trescléoux,5172,5.716796,44.351657,"44.351657,5.716796",Hébergement
462,Gîte refuge La Pousterle,5120,L'Argentière-la-Bessée,5006,6.514447,44.800876,"44.800876,6.514447",Hébergement
463,La Vigneraie,83350,Ramatuelle,83101,6.660457,43.241315,"43.241315,6.660457",Hébergement
464,Gîte d'étape et de séjour de la ferme de Villauret,5400,Saint-Auban-d'Oze,5131,5.852706,44.473735,"44.473735,5.852706",Hébergement
465,La Rouvenède,83350,Ramatuelle,83101,6.617643,43.213045,"43.213045,6.617643",Hébergement
466,Gîte d'étape L'Auberge Ensoleillée,5320,La Grave,5063,6.296303,45.049831,"45.049831,6.296303",Hébergement
467,La Ferme de l'Empereur,83350,Ramatuelle,83101,6.643717,43.212843,"43.212843,6.643717",Hébergement
468,Pra Sainte Marie,5560,Vars,5177,6.689429,44.596151,"44.596151,6.689429",Hébergement
469,La Bastide des Tamaris,83350,Ramatuelle,83101,6.657907,43.238667,"43.238667,6.657907",Hébergement
470,Les Jardins de La Côte D'azur - Club Hôtel Maeva,83430,Saint-Mandrier-sur-Mer,83153,5.920654,43.08194,"43.08194,5.920654",Hébergement
471,Touristra la Manne,83230,Bormes-les-Mimosas,83019,6.334753,43.127041,"43.127041,6.334753",Hébergement
472,Gîte de Terre Rouge,5100,Cervières,5027,6.688377,44.874773,"44.874773,6.688377",Hébergement
473,Gîte des Gorges de la Méouge,5300,Barret-sur-Méouge,5014,5.73791,44.261736,"44.261736,5.73791",Hébergement
474,Le Cabanon,83350,Ramatuelle,83101,6.629759,43.211902,"43.211902,6.629759",Hébergement
475,Gîte des 3 Cols,5160,Réallon,5114,6.33399,44.616202,"44.616202,6.33399",Hébergement
476,L'Auberge de l'Oumède,83350,Ramatuelle,83101,6.639595,43.218469,"43.218469,6.639595",Hébergement
477,Les Eucalyptus,83350,Ramatuelle,83101,6.657003,43.242587,"43.242587,6.657003",Hébergement
478,Leï Souco,83350,Ramatuelle,83101,6.647716,43.213299,"43.213299,6.647716",Hébergement
479,Auberge La Gravière,5170,Orcières,5096,6.31889,44.680418,"44.680418,6.31889",Hébergement
480,Centre de Vacances Les Clarines,4140,Montclar,4126,6.350016,44.411318,"44.411318,6.350016",Hébergement
481,Gîte des Guibertes,5220,Le Monêtier-les-Bains,5079,6.528883,44.965284,"44.965284,6.528883",Hébergement
482,Gîte de la Draye,5200,Crots,5045,6.474517,44.4922,"44.4922,6.474517",Hébergement
483,Domaine Clairefontaine,4460,Saint-Martin-lès-Seyne,4191,6.27636,44.382142,"44.382142,6.27636",Hébergement
484,"Résidence Lagrange ""Villa Barbara""",83240,Cavalaire-sur-Mer,83036,6.524688,43.17625,"43.17625,6.524688",Hébergement
485,La Blanche,5340,Vallouise-Pelvoux,5101,6.491092,44.861733,"44.861733,6.491092",Hébergement
486,Gîte d'étape de Moissière,5400,Rabou,5112,6.000804,44.597002,"44.597002,6.000804",Hébergement
487,Gîte d'étape de Thoard,4380,Thoard,4217,6.149186,44.150084,"44.150084,6.149186",Hébergement
488,Gîte communal de Laye,5500,Laye,5072,6.073289,44.642819,"44.642819,6.073289",Hébergement
489,Les Grands Pins,4800,Gréoux-les-Bains,4094,5.894942,43.754906,"43.754906,5.894942",Hébergement
490,Gîte Communal de la Piarre,5700,La Piarre,5102,5.656048,44.475997,"44.475997,5.656048",Hébergement
491,Gîte étape & groupe chévrerie Céüse,5130,Sigoyer,5168,5.943475,44.486066,"44.486066,5.943475",Hébergement
492,Gîte de Chauffarel,5170,Orcières,5096,6.294608,44.681928,"44.681928,6.294608",Hébergement
493,Gîte d'étape Bijou,5170,Orcières,5096,6.370093,44.693439,"44.693439,6.370093",Hébergement
494,Résidence - Hôtel de la Mer,83420,La Croix-Valmer,83048,6.556524,43.19347,"43.19347,6.556524",Hébergement
495,Gite Chalet AlpeLune,5290,Puy-Saint-Vincent,5110,6.500506,44.821155,"44.821155,6.500506",Hébergement
496,Le Villard,5600,Guillestre,5065,6.625836,44.658117,"44.658117,6.625836",Hébergement
497,Maison forestière ONF de Chaudun,5000,Gap,5061,6.020832,44.643067,"44.643067,6.020832",Hébergement
498,Gîte collectif Chalet Saint Jean,5320,La Grave,5063,6.286138,45.053901,"45.053901,6.286138",Hébergement
499,L'albane,5560,Vars,5177,6.679992,44.572662,"44.572662,6.679992",Hébergement
500,Club Med Serre Chevalier,5240,La Salle les Alpes,5161,6.550426,44.946242,"44.946242,6.550426",Hébergement
501,Domaine de Château Laval - Vacances Bleues,4800,Gréoux-les-Bains,4094,5.906788,43.778129,"43.778129,5.906788",Hébergement
502,Les Damias,5300,Éourres,5047,5.720702,44.215586,"44.215586,5.720702",Hébergement
503,Gîte Vertige Sport,5700,Orpierre,5097,5.692377,44.313432,"44.313432,5.692377",Hébergement
504,Moulin de Saint-André - Gite de Groupe,83560,Vinon-sur-Verdon,83150,5.813167,43.728518,"43.728518,5.813167",Hébergement
505,Maison Forestière ONF de Rabioux,5250,Le Dévoluy,5139,5.863415,44.616312,"44.616312,5.863415",Hébergement
506,Edelweiss,5460,Abriès,5001,6.927759,44.795203,"44.795203,6.927759",Hébergement
507,Le Kaly,5260,Saint-Michel-de-Chaillol,5153,6.164076,44.689327,"44.689327,6.164076",Hébergement
508,Résidence Les Cordeliers,84000,Avignon,84007,4.811513,43.94399,"43.94399,4.811513",Hébergement
509,Appart' hôtel Campus Del Sol - Esplanade,84000,Avignon,84007,4.888388,43.91513,"43.91513,4.888388",Hébergement
510,La Maison de Gaudissard,5350,Molines-en-Queyras,5077,6.83942,44.73667,"44.73667,6.83942",Hébergement
511,Le Riou Vert,5350,Château-Ville-Vieille,5038,6.74954,44.70847,"44.70847,6.74954",Hébergement
512,Le Grand Rochebrune,5350,Château-Ville-Vieille,5038,6.76924,44.77532,"44.77532,6.76924",Hébergement
513,La Fruitière,5350,Arvieux,5007,6.7574,44.74509,"44.74509,6.7574",Hébergement
514,Les Gabelous,5350,Saint-Véran,5157,6.869792,44.699248,"44.699248,6.869792",Hébergement
515,L'Estoilies,5350,Saint-Véran,5157,6.86216,44.69903,"44.69903,6.86216",Hébergement
516,Les Arolles,5350,Molines-en-Queyras,5077,6.83581,44.73345,"44.73345,6.83581",Hébergement
517,Chalet Alpage Tangente,5350,Molines-en-Queyras,5077,6.885895,44.722961,"44.722961,6.885895",Hébergement
518,Abriès le Villard,5460,Abriès,5001,6.92639,44.79489,"44.79489,6.92639",Hébergement
519,Le Matefaim,5600,Ceillac,5026,6.776883,44.666259,"44.666259,6.776883",Hébergement
520,7 Degrés Est,5460,Ristolas,5120,6.99374,44.75991,"44.75991,6.99374",Hébergement
521,Cabane Marie-Louise,4370,Villars-Colmars,4240,6.569406,44.20785,"44.20785,6.569406",Hébergement
522,Gîte de La Monta,5460,Ristolas,5120,6.98405,44.76637,"44.76637,6.98405",Hébergement
523,Chalet Alpin  de l'Eychauda,5340,Vallouise-Pelvoux,5101,6.49176,44.860553,"44.860553,6.49176",Hébergement
524,Les Amandiers,4800,Gréoux-les-Bains,4094,5.897499,43.759269,"43.759269,5.897499",Hébergement
525,Les Bons Enfants,5350,Arvieux,5007,6.73011,44.79284,"44.79284,6.73011",Hébergement
526,Le Chalet des Routiers,5350,Saint-Véran,5157,6.86842,44.69893,"44.69893,6.86842",Hébergement
527,Chalet Alpin l'Eychauda,5340,Vallouise-Pelvoux,5101,6.491714,44.860748,"44.860748,6.491714",Hébergement
528,Gîte Le Château,4000,La Robine-sur-Galabre,4167,6.216964,44.172803,"44.172803,6.216964",Hébergement
529,Les Baladins,5600,Ceillac,5026,6.77554,44.66622,"44.66622,6.77554",Hébergement
530,La Baïta du Loup,5350,Saint-Véran,5157,6.849499,44.711409,"44.711409,6.849499",Hébergement
531,Les Astragales,5350,Château-Ville-Vieille,5038,6.82241,44.76101,"44.76101,6.82241",Hébergement
532,Refuge Le Pas du Loup,5120,Saint-Martin-de-Queyrières,5151,6.56428,44.830383,"44.830383,6.56428",Hébergement
533,Gîte La Ferme de la Tour,5100,Villar-Saint-Pancrace,5183,6.631504,44.876986,"44.876986,6.631504",Hébergement
534,Gîtes La Maison Verte,5200,Baratier,5012,6.483485,44.536653,"44.536653,6.483485",Hébergement
535,Gîte La Découverte,5100,Névache,5093,6.61252,45.018579,"45.018579,6.61252",Hébergement
536,Gîte d'étape et de séjour de Gigondas les Dentelles de Montmirail,84190,Gigondas,84049,5.004675,44.165436,"44.165436,5.004675",Hébergement
537,Gîte Forestier des Dourbes,4000,Digne-les-Bains,4070,6.309779,44.065801,"44.065801,6.309779",Hébergement
538,Le Mistral,4800,Gréoux-les-Bains,4094,5.897499,43.759269,"43.759269,5.897499",Hébergement
539,Centre de Vacances de la Ville d'Aubagne,4340,Ubaye Serre-Ponçon,4033,6.374505,44.444375,"44.444375,6.374505",Hébergement
540,Chalet Le Cassu,5460,Abriès,5001,6.94423,44.81936,"44.81936,6.94423",Hébergement
541,Grand gîte Matacharre (ONF),5400,La Roche-des-Arnauds,5123,5.934673,44.585794,"44.585794,5.934673",Hébergement
542,Chez Marius,5350,Arvieux,5007,6.73199,44.7914,"44.7914,6.73199",Hébergement
543,La résidence du Bailli,83820,Rayol-Canadel-sur-Mer,83152,6.478293,43.156847,"43.156847,6.478293",Hébergement
544,Maison forestière ONF des Sauvas,5400,Montmaur,5087,5.903494,44.600435,"44.600435,5.903494",Hébergement
545,Gîte - Hotel Le Rebanchon,5220,Le Monêtier-les-Bains,5079,6.482337,44.986723,"44.986723,6.482337",Hébergement
546,Gîte du Domaine de la Clappe,4000,Digne-les-Bains,4070,6.30885,44.01708,"44.01708,6.30885",Hébergement
547,Gîte d'étape Les Mélèzes,5480,Villar d'Arène,5181,6.335053,45.042959,"45.042959,6.335053",Hébergement
548,L'Olivier,4800,Gréoux-les-Bains,4094,5.897499,43.759269,"43.759269,5.897499",Hébergement
549,"Belambra Clubs ""Les Criques""",83400,Hyères,83069,6.16327,43.03192,"43.03192,6.16327",Hébergement
550,Quen' Chan't Le Guil,5470,Aiguilles,5003,6.869483,44.78182,"44.78182,6.869483",Hébergement
551,Le Ristolas,5460,Ristolas,5120,6.95676,44.77384,"44.77384,6.95676",Hébergement
552,La Teppio,5350,Arvieux,5007,6.73421,44.78051,"44.78051,6.73421",Hébergement
553,Chalet Viso,5350,Arvieux,5007,6.73714,44.77954,"44.77954,6.73714",Hébergement
554,Gîte 'Les Eaux Claires',5400,Saint-Auban-d'Oze,5131,5.844426,44.49781,"44.49781,5.844426",Hébergement
555,GOLDSTAR RESORT ET SUITES,6000,Nice,6088,7.260546,43.697729,"43.697729,7.260546",Hébergement
556,Yak Avenir,5470,Aiguilles,5003,6.866582,44.781591,"44.781591,6.866582",Hébergement
557,Les Drailles - Gîte d'étape,5700,Orpierre,5097,5.691889,44.313121,"44.313121,5.691889",Hébergement
558,La Froumentière,5260,Saint-Michel-de-Chaillol,5153,6.16761,44.68148,"44.68148,6.16761",Hébergement
559,GITE D'ETAPE VILLAGE,6660,Saint-Dalmas-le-Selvage,6119,6.89945,44.24778,"44.24778,6.89945",Hébergement
560,Les Perce Neige,5350,Saint-Véran,5157,6.868732,44.699951,"44.699951,6.868732",Hébergement
561,Eco-gîte de l'Aigle,5600,Ceillac,5026,6.779399,44.669951,"44.669951,6.779399",Hébergement
562,La P'tite Auberge,5470,Aiguilles,5003,6.8703,44.78249,"44.78249,6.8703",Hébergement
563,Les Ajourdines,5340,Vallouise-Pelvoux,5101,6.489272,44.862744,"44.862744,6.489272",Hébergement
564,Leï Mendi,5340,Vallouise-Pelvoux,5101,6.45265,44.884381,"44.884381,6.45265",Hébergement
565,Refuge de Nice,6450,Belvédère,6013,7.400381,44.1044,"44.1044,7.400381",Hébergement
566,Gîte d'étape Au Vieux Guide,5320,La Grave,5063,6.306893,45.045253,"45.045253,6.306893",Hébergement
567,Le Grand Champ,5000,Gap,5061,6.128225,44.594226,"44.594226,6.128225",Hébergement
568,Gîte d'étape Le Rocher,5320,La Grave,5063,6.300005,45.044288,"45.044288,6.300005",Hébergement
569,Les Yuccas 1er étage,4800,Gréoux-les-Bains,4094,5.891915,43.754309,"43.754309,5.891915",Hébergement
570,Au Fil de l'Onde,5340,Vallouise-Pelvoux,5101,6.486667,44.841667,"44.841667,6.486667",Hébergement
571,Résidence Le Golfe Bleu,83820,Rayol-Canadel-sur-Mer,83152,6.455094,43.156513,"43.156513,6.455094",Hébergement
572,FOEHN (le),6420,Isola,6073,7.049847,44.186135,"44.186135,7.049847",Hébergement
573,Club Belambra Riviera Beach Club,83400,Hyères,83069,6.1481,43.04381,"43.04381,6.1481",Hébergement
574,Gîte Le Moulin Papillon,5120,L'Argentière-la-Bessée,5006,6.5522,44.7825,"44.7825,6.5522",Hébergement
575,Gîte Les Charançons,5380,Châteauroux-les-Alpes,5036,6.471658,44.648706,"44.648706,6.471658",Hébergement
576,Gîte-Auberge Le Pas de l'Âne,5480,Villar d'Arène,5181,6.36264,45.030772,"45.030772,6.36264",Hébergement
577,Gîte Le Creux des Souches,5100,Névache,5093,6.604071,45.019299,"45.019299,6.604071",Hébergement
578,Résidence Pierre et Vacances - Les Restanques du Golfe De Saint-Tropez,83310,Grimaud,83068,6.569072,43.286024,"43.286024,6.569072",Hébergement
579,Résidence Les Perles de Saint - Tropez,83310,Grimaud,83068,6.583384,43.282204,"43.282204,6.583384",Hébergement
580,Centre ANAS,83400,Hyères,83069,6.149018,43.058687,"43.058687,6.149018",Hébergement
581,Gîte Le Faï,5400,Le Saix,5158,5.830779,44.46025,"44.46025,5.830779",Hébergement
582,Coste-Belle,5350,Saint-Véran,5157,6.871426,44.698566,"44.698566,6.871426",Hébergement
583,Gîte collectif Chalet du Combeynot,5480,Villar d'Arène,5181,6.363031,45.031773,"45.031773,6.363031",Hébergement
584,Centre de vacances IGESA,5290,Puy-Saint-Vincent,5110,6.484662,44.819948,"44.819948,6.484662",Hébergement
585,Gîte d'Etape du Chateau des Sieyes,4000,Digne-les-Bains,4070,6.216264,44.084041,"44.084041,6.216264",Hébergement
586,Résidence Odalys - La Palmeraie,83310,Grimaud,83068,6.587208,43.282199,"43.282199,6.587208",Hébergement
587,Le Suffren,83310,Grimaud,83068,6.580621,43.274035,"43.274035,6.580621",Hébergement
588,Les Passagers du gîte,5100,Val-des-Prés,5174,6.67448,44.916767,"44.916767,6.67448",Hébergement
589,Gîte de l'ASPA,84390,Saint-Christol,84107,5.491773,44.02877,"44.02877,5.491773",Hébergement
590,Gîte d'étape Le Camp de Base,5320,La Grave,5063,6.284051,45.043539,"45.043539,6.284051",Hébergement
